sic87,naics97,mapping_ec,mapping_official,mapping_all,weight_mapping_ec,weight_mapping_official,weight_mapping_all,weight_emp,weight_estabs,weight_pay,weight_ship,rw1,tot_rw,rw2,weight_hybrid,source,weight_shipments,emp,estabs,shipments,pay,test
149\,949999,1,,1,.07692308,,.07692308,.093798451,.093798451,.093798451,,,0,1,.093798451,fk,.093798444,8245.43473815918,121,103572.4329223633,447414.8701171875,1
15--,23----,36,36,36,.97297299,.97297299,.97297299,.99665385,.99871612,.99681205,.99818051,,0,1,.99665385,,,,,,,1
15--,56----,1,1,1,.027027028,.027027028,.027027028,.00334615,.0012838878,.0031879833,.0018194456,,0,1,.00334615,,,,,,,1
1500,233///,10,10,10,1,1,1,1,1,.99999994,1,,0,1,1,,,,,,,1
1510,2332//,2,2,2,.66666669,.66666669,.66666669,.97236276,.99103945,.9590289,.94832438,,0,1,.97236276,,,,,,,1
1510,2333//,1,1,1,.33333334,.33333334,.33333334,.027637215,.0089605441,.04097113,.051675569,,0,1,.027637215,,,,,,,1
1520,2332//,2,2,2,.66666669,.66666669,.66666669,.97236276,.99103945,.9590289,.94832438,,0,1,.97236276,,,,,,,1
1520,2333//,1,1,1,.33333334,.33333334,.33333334,.027637215,.0089605441,.04097113,.051675569,,0,1,.027637215,,,,,,,1
1521,233210,1,1,1,1,1,1,1,1,1,,,0,1,1,both,1,438032,116537,79380857,10314481,1
1522,233220,1,1,1,.5,.5,.5,.77567101,.85089248,.73622906,,,0,1,.77567101,both,.69174784,47741,6340,11059408,1396444,1
1522,233320,1,1,1,.5,.5,.5,.22432898,.1491075,.26377091,,,0,1,.22432898,both,.30825216,13807,1111,4928221,500308,1
1530,2332//,2,2,2,.5,.5,.5,.96187645,.97504526,.9601903,.96638525,,0,1,.96187645,,,,,,,1
1530,2333//,2,2,2,.5,.5,.5,.038123548,.024954757,.039809704,.033614784,,0,1,.038123548,,,,,,,1
1531,233210,1,1,1,.25,.25,.25,.90040523,.94204211,.90384603,,,0,1,.90040523,both,.92674118,125105,19781,67838196,4402201,1
1531,233220,1,1,1,.25,.25,.25,.06147125,.033003144,.056344282,,,0,1,.06147125,both,.039644089,8541,693,2901979,274426,1
1531,233310,1,1,1,.25,.25,.25,.01119164,.0040003811,.012629244,,,0,1,.01119164,both,.0067434781,1555,84,493628,61511,1
1531,233320,1,1,1,.25,.25,.25,.026931908,.020954376,.027180459,,,0,1,.026931908,both,.026871305,3742,440,1967001,132383,1
1540,2333//,3,3,3,1,1,1,1,1,1,1,,0,1,1,,,,,,,1
1541,233310,1,1,1,.5,.5,.5,.87445307,.78068662,.88525212,,,0,1,.87445307,both,.85531706,138293,6799,32661302,4926683,1
1541,233320,1,1,1,.5,.5,.5,.12554696,.21931335,.11474788,,,0,1,.12554696,both,.14468287,19855,1910,5524888,638605,1
1542,233320,1,1,1,1,1,1,1,1,1,,,0,1,1,both,1,472611,30817,158795765,17205060,1
1600,234///,6,6,6,1,1,1,1,1,1,1,,0,1,1,,,,,,,1
1610,2341//,1,1,1,1,1,1,1,1,1,1,,0,1,1,,,,,,,1
1611,234110,1,1,1,1,1,1,1,1,1,,,0,1,1,both,1,277073,11161,49920792,9472264,1
1620,2341//,1,1,1,.2,.2,.2,.082991019,.041265815,.093369462,.12408921,,0,1,.082991019,,,,,,,1
1620,2349//,4,4,4,.80000001,.80000001,.80000001,.917009,.95873421,.90663058,.87591076,,0,1,.917009,,,,,,,1
1622,234120,1,1,1,1,1,1,1,1,1,,,0,1,1,both,1,47680,1171,9547853,1843670,1
1623,234910,1,1,1,.5,.5,.5,.68818355,.71236771,.69975358,,,0,1,.68818355,both,.74162441,162401,8012,22388427,5514425,1
1623,234920,1,1,1,.5,.5,.5,.31181642,.28763226,.30024642,,,0,1,.31181642,both,.25837564,73584,3235,7799938,2366099,1
1629,234930,1,1,1,.5,.5,.5,.33653194,.030327715,.36797827,,,0,1,.33653194,both,.24487519,97882,484,9111129,3687794,1
1629,234990,1,1,1,.5,.5,.5,.66346806,.96967226,.63202173,,,0,1,.66346806,both,.75512481,192973,15475,28096106,6333977,1
1700,235///,20,20,20,.95238096,.95238096,.95238096,.99460286,.99802363,.9946509,.99556381,,0,1,.99460286,,,,,,,1
1700,562///,1,1,1,.047619049,.047619049,.047619049,.00539714,.0019763417,.0053490535,.004436201,,0,1,.00539714,,,,,,,1
